决策时刻,主玩家队伍,主玩家角色,主玩家位置X,主玩家位置Y,主玩家位置Z,主玩家武器偏航角,主玩家武器俯仰角,主玩家速度X,主玩家速度Y,主玩家速度Z,主玩家速度大小,主玩家相机X坐标,主玩家相机Y坐标,主玩家相机Z坐标,主玩家视野范围,主玩家开镜状态,主玩家Buff数量,当前已追踪玩家数量,敌方玩家数量,队友玩家数量,敌人平均距离,队友平均距离,10米内敌人数,20米内敌人数,10米内队友数,20米内队友数,最近敌人队伍,最近敌人角色,最近敌人距离,最近敌人相对位置X,最近敌人相对位置Y,最近敌人相对位置Z,最近敌人位置X,最近敌人位置Y,最近敌人位置Z,最近敌人武器偏航角,最近敌人武器俯仰角,最近敌人速度X,最近敌人速度Y,最近敌人速度Z,最近敌人速度大小,最近敌人相机X坐标,最近敌人相机Y坐标,最近敌人相机Z坐标,最近敌人视野范围,最近敌人开镜状态,最近敌人Buff数量,最近队友队伍,最近队友角色,最近队友距离,最近队友相对位置X,最近队友相对位置Y,最近队友相对位置Z,最近队友位置X,最近队友位置Y,最近队友位置Z,最近队友武器偏航角,最近队友武器俯仰角,最近队友速度X,最近队友速度Y,最近队友速度Z,最近队友速度大小,最近队友相机X坐标,最近队友相机Y坐标,最近队友相机Z坐标,最近队友视野范围,最近队友开镜状态,最近队友Buff数量,has_recent_enemy,has_recent_teammate,has_main_player_pose,主到敌人水平距离,主到敌人三维距离_重算,主到敌人高度差,主玩家朝向_敌人夹角,主玩家俯仰_敌人夹角,主到队友水平距离,主到队友三维距离_重算,主到队友高度差,主玩家朝向_队友夹角,主玩家俯仰_队友夹角,最近敌人距离_除以_敌人平均距离,最近队友距离_除以_队友平均距离,10米压力差_敌减队,20米压力差_敌减队,敌我数量差,敌我数量比,主玩家是否静止,最近敌人是否静止,最近队友是否静止,主敌速度差,主队速度差,主敌视野差,主玩家Buff数量_x_敌方玩家数量,主玩家Buff数量_x_10米内敌人数
19.95,6,无名,3353.5,-159.2,-7748.8,242.4,349.9,-0.1,0.0,-0.1,0.14142135623730953,3353.5,-158.5,-7748.8,95.0,1.0,12,15,13,1,368.02510658402775,35.57218014122855,0,0,0,0,1.0,比特,200.4641115012861,0.40000000000009095,8.099999999999994,-200.30000000000018,3353.9,-151.1,-7949.1,150.2,345.1,-6.7,0.0,4.2,7.907591289387685,3353.9,-150.4,-7949.1,90.0,0.0,0,6.0,无名,35.57218014122855,-6.800000000000182,-10.5,33.30000000000018,3346.7,-169.7,-7715.5,6.0,353.6,7.6,0.0,0.8,7.64198926981712,3346.7,-169.0,-7715.5,104.8,0.0,0,1,1,1,8.109870529176158,200.4641115012861,-200.30000000000018,155.22712457816192,437.5814393792641,12.509596316428539,35.57218014122855,33.30000000000018,5.327862653164857,280.48936948704113,0.5447022714346148,1.0,0,0,12,6.5,1.0,0.0,0.0,-7.766169933150376,-7.500567913579811,5.0,156,0
20.0,8,骇爪,3632.3,-249.6,-4711.7,208.7,335.4,-6.4,0.0,-1.2,6.511528238439883,3632.3,-249.0,-4711.7,99.0,1.0,0,19,8,2,392.48980438403544,9.91674304711972,0,0,1,2,3.0,银翼,227.96302331737928,201.69999999999982,5.199999999999989,-106.10000000000036,3834.0,-244.4,-4817.8,221.5,352.7,-0.1,0.1,-0.1,0.17320508075688776,3834.0,-244.4,-4817.8,90.0,0.0,0,8.0,红狼,8.581375181170376,-3.800000000000182,1.1999999999999886,-7.600000000000364,3628.5,-248.4,-4719.3,271.7,351.2,-4.5,1.5,-1.8,5.073460357586329,3628.5,-247.7,-4719.3,95.0,0.0,0,1,1,1,201.76701910867376,227.96302331737928,-106.10000000000036,152.77680749289743,363.1378187799214,3.9849717690344253,8.581375181170376,-7.600000000000364,46.22556837372193,397.7302520280844,0.5808125988779231,0.8653420927007687,-1,-2,6,2.6666666666666665,0.0,1.0,0.0,6.3383231576829955,1.4380678808535539,9.0,0,0
20.0,7,银翼,3962.5,-250.3,-4555.5,109.9,0.0,0.0,0.0,0.0,0.0,3962.5,-249.7,-4555.5,90.0,1.0,10,19,17,1,289.0128404649603,3.623534186398442,0,0,1,1,3.0,银翼,155.2581398832282,-118.90000000000009,2.8000000000000114,99.80000000000018,3843.6,-247.5,-4455.7,140.9,0.0,0.0,0.0,0.0,0.0,3843.6,-246.8,-4455.7,90.0,0.0,8,7.0,银翼,3.623534186398442,1.699999999999818,0.0,-3.199999999999818,3964.2,-250.3,-4558.7,109.9,0.0,0.0,0.0,0.0,0.0,3964.2,-249.7,-4558.7,90.0,0.0,9,1,1,1,118.93296431183417,155.2581398832282,99.80000000000018,68.75097950752092,40.00095933766735,1.699999999999818,3.623534186398442,-3.199999999999818,109.89999999999998,62.02052561152105,0.5372015292934765,1.0,-1,-1,16,8.5,1.0,1.0,1.0,0.0,0.0,0.0,170,0
20.0,4,露娜,6675.8,-197.2,-4527.9,265.2,316.5,0.0,0.0,0.0,0.0,6675.8,-196.5,-4527.9,90.0,1.0,0,17,10,2,163.61332795185075,13.313424165234668,0,0,0,2,7.0,蛊,54.00546268665813,-43.100000000000364,-22.30000000000001,23.699999999999818,6632.7,-219.5,-4504.2,156.4,329.4,0.0,0.0,0.0,0.0,6632.7,-218.8,-4504.2,110.6,0.0,4,4.0,威龙,12.337341690980553,11.800000000000182,-0.10000000000002274,-3.600000000000364,6687.6,-197.3,-4531.5,180.9,351.6,-6.3,-5.3,2.5,8.604068804931769,6687.6,-196.6,-4531.5,90.0,0.0,0,1,1,1,48.52731189752871,54.00546268665813,23.699999999999818,57.84289173075979,290.46982140658446,11.800423721206128,12.337341690980553,-3.600000000000364,94.31445416999179,333.4655738910513,0.33007984962295506,0.9266843403965932,0,-2,8,3.3333333333333335,1.0,1.0,0.0,0.0,-8.604068804931769,-20.599999999999994,0,0
20.0,2,威龙,6796.0,-214.9,-4458.1,124.3,358.9,-1.1,0.0,-0.8,1.3601470508735445,6796.0,-214.2,-4458.1,43.6,1.0,11,17,3,0,38.765321313845114,18.216640039347894,0,0,0,0,6.0,红狼,33.809614017317784,-15.0,0.0,30.300000000000182,6781.0,-214.9,-4427.8,300.8,4.3,0.0,0.0,0.0,0.0,6781.0,-214.9,-4427.8,81.4,0.0,6,5.0,MISSING,11.9910383185333,-0.099999999999909,0.0,0.0,3790.2,-198.7,-4503.7,167.9,350.2,0.0,0.0,0.0,1.811077027627484,3790.2,-198.0,-4503.7,90.0,0.0,0,1,1,1,15.0,33.809614017317784,30.300000000000182,55.7,295.23768816608725,4.899999999999977,9.390686872062496,0.0,86.32338064168295,323.17969077187075,0.8721613254174837,0.773790939447696,0,0,3,3.0,0.0,1.0,0.0,1.3601470508735445,-0.25849027169622885,-37.800000000000004,33,0
20.0,6,无名,3380.3,-174.3,-7609.1,-69.2,0.0,0.0,0.0,0.0,0.0,3380.3,-173.6,-7609.1,90.0,1.0,8,15,13,1,419.0214595502084,2.071231517720602,0,0,1,1,2.0,UNKNOWN_ROLE_50003,341.9001754898641,304.1999999999998,4.700000000000017,-156.0,3684.5,-169.6,-7765.1,-29.2,0.0,0.0,0.0,0.0,0.0,3684.5,-168.9,-7765.1,90.0,0.0,1,6.0,无名,2.071231517720602,-1.900000000000091,0.20000000000001705,-0.7999999999992724,3378.4,-174.1,-7609.9,-69.2,0.0,0.0,0.0,0.0,0.0,3378.4,-173.5,-7609.9,90.0,0.0,2,1,1,1,304.2363061832034,341.9001754898641,-156.0,70.08517008228775,27.146905373338694,1.9104973174543722,2.071231517720602,-0.7999999999992724,116.80900595749472,22.720968656281382,0.8159490825526482,1.0,-1,-1,12,6.5,1.0,1.0,1.0,0.0,0.0,0.0,104,0
20.0,1,红狼,3268.2,-160.8,-7854.7,349.9,350.9,8.6,-0.8,-1.5,8.766413177577247,3268.2,-160.1,-7854.7,90.0,1.0,1,14,11,2,417.63681088503364,25.72494879160453,0,0,0,0,3.0,红狼,163.13807035759564,-53.09999999999991,-6.899999999999977,154.09999999999945,3215.1,-167.7,-7700.6,1.7,352.3,7.2,-1.1,3.0,7.877182237323192,3215.1,-167.0,-7700.6,100.1,0.0,0,1.0,骇爪,20.969740103301397,-8.0,-1.799999999999983,19.300000000000182,3260.2,-162.6,-7835.4,35.1,350.9,2.9,0.6,2.0,3.5735136770411273,3260.2,-161.9,-7835.4,84.0,0.0,0,1,1,1,53.54642845232527,163.13807035759564,154.09999999999945,162.49627114721193,280.06123742951337,8.199999999999996,20.969740103301397,19.300000000000182,157.21961650818025,283.919205440689,0.3906218659506621,0.8151518696179089,0,0,9,3.6666666666666665,0.0,0.0,0.0,0.8892309402540555,5.19289950053612,-10.099999999999994,11,0
20.0,3,骇爪,3693.3,-250.3,-4521.3,48.6,0.0,0.0,0.0,0.0,0.0,3693.3,-249.7,-4521.3,90.0,1.0,13,20,17,2,247.8117228868914,2.031806725741345,0,0,2,2,5.0,骇爪,162.75653596706937,149.0999999999999,2.8000000000000114,65.19999999999982,3842.4,-247.5,-4456.1,142.9,0.0,0.0,0.0,0.0,0.0,3842.4,-246.8,-4456.1,90.0,0.0,13,3.0,疾风,1.6552945357246078,-1.5,0.0,0.6999999999998181,3691.8,-250.3,-4520.6,16.5,0.0,0.0,0.0,0.0,0.0,3691.8,-249.7,-4520.6,90.0,0.0,16,1,1,1,149.1262887622433,162.75653596706937,65.19999999999982,47.52414937920872,23.615589646445127,1.5,1.6552945357246078,0.6999999999998181,131.4,25.016893478094318,0.6567749663778265,0.814690942181344,-2,-2,15,5.666666666666667,1.0,1.0,1.0,0.0,0.0,0.0,221,0
20.0,4,蜂医,6694.9,-198.7,-4543.4,88.8,11.3,-4.0,0.0,0.7,4.060788100849391,6694.9,-198.1,-4543.4,84.0,1.0,3,16,12,2,184.74506367541244,54.58004675601431,0,0,0,0,6.0,露娜,33.020296788490995,19.700000000000728,0.0,26.5,6714.6,-198.7,-4516.9,266.6,358.8,-0.3,0.0,-7.4,7.40607858451421,6714.6,-198.0,-4516.9,89.0,0.0,1,4.0,骇爪,32.6406188666816,-3.7999999999992724,1.0999999999999943,32.399999999999636,6691.1,-197.6,-4511.0,97.5,355.8,0.0,0.0,0.0,0.0,6691.1,-197.6,-4511.0,84.0,0.0,0,1,1,1,19.700000000000728,33.020296788490995,26.5,88.80000000000001,42.07302667478139,3.9560080889697957,32.6406188666816,32.399999999999636,75.05566121971366,71.73869870949916,0.178734392852336,0.5980320796094747,0,0,10,4.0,0.0,0.0,1.0,-3.3452904836648196,4.060788100849391,-5.0,36,0
20.0,7,银翼,3962.5,-250.3,-4555.5,109.9,0.0,0.0,0.0,0.0,0.0,3962.5,-249.7,-4555.5,90.0,1.0,10,19,17,1,289.0128404649603,3.623534186398442,0,0,1,1,3.0,银翼,155.2581398832282,-118.90000000000009,2.8000000000000114,99.80000000000018,3843.6,-247.5,-4455.7,140.9,0.0,0.0,0.0,0.0,0.0,3843.6,-246.8,-4455.7,90.0,0.0,8,7.0,银翼,3.623534186398442,1.699999999999818,0.0,-3.199999999999818,3964.2,-250.3,-4558.7,109.9,0.0,0.0,0.0,0.0,0.0,3964.2,-249.7,-4558.7,90.0,0.0,9,1,1,1,118.93296431183417,155.2581398832282,99.80000000000018,68.75097950752092,40.00095933766735,1.699999999999818,3.623534186398442,-3.199999999999818,109.89999999999998,62.02052561152105,0.5372015292934765,1.0,-1,-1,16,8.5,1.0,1.0,1.0,0.0,0.0,0.0,170,0
20.0,4,威龙,6683.9,-198.7,-4552.8,109.9,356.4,-1.3,0.0,3.6,3.8275318418009276,6683.9,-198.0,-4552.8,104.8,1.0,5,16,10,2,216.74438078510434,79.85664372150458,0,0,0,0,6.0,露娜,60.81027873641063,-45.399999999999636,-20.80000000000001,34.69999999999982,6638.5,-219.5,-4518.1,79.6,348.6,1.0,0.0,4.4,4.512205669071391,6638.5,-218.8,-4518.1,90.0,0.0,0,4.0,露娜,75.29687908539138,58.0,-14.100000000000023,45.900000000000546,6741.9,-212.8,-4506.9,267.9,348.0,-0.0,0.0,-3.8,3.8,6741.9,-212.1,-4506.9,120.0,0.0,0,1,1,1,49.93796151226007,60.81027873641063,34.69999999999982,94.71487307210532,321.6060250467659,59.68927876930664,75.29687908539138,45.900000000000546,123.56374466409164,318.8403523219882,0.2805621927366238,0.9429006226205159,0,0,8,3.3333333333333335,0.0,0.0,0.0,-0.6846738272704633,0.027531841800927825,14.799999999999997,50,0
20.0,8,骇爪,3651.8,-247.3,-4420.2,35.0,345.4,0.0,0.0,0.0,0.0,3651.8,-246.7,-4420.2,99.0,1.0,0,20,6,2,229.04378550204206,2.3878733994766357,0,0,2,2,5.0,骇爪,160.87087990062076,146.19999999999982,4.0,67.0,3798.0,-243.3,-4353.2,345.7,359.0,-1.5,0.0,0.4,1.5524174696260025,3798.0,-242.6,-4353.2,100.0,0.0,9,8.0,比特,2.2203603311174396,1.2999999999997272,0.0,1.800000000000182,3653.1,-247.3,-4418.4,23.3,334.5,0.1,0.0,4.5,4.50111097397076,3653.1,-246.7,-4418.4,120.0,0.0,0,1,1,1,146.25470932588786,160.87087990062076,67.0,33.43279098404514,320.7872519505953,1.2999999999997272,2.2203603311174396,1.800000000000182,35.0,291.23765295426983,0.7023586322065328,0.9298484298221543,-2,-2,4,2.0,1.0,0.0,0.0,-1.5524174696260025,-4.50111097397076,-1.0,0,0
20.0,4,UNKNOWN_ROLE_30008,3817.2,-247.0,-4628.1,252.3,353.2,-0.1,0.0,-0.2,0.223606797749979,3817.2,-246.4,-4628.1,120.0,1.0,16,20,13,2,156.42451442337077,24.6671734077486,1,2,0,0,8.0,红狼,6.847627326308084,-6.0,0.0,3.300000000000182,3811.2,-247.0,-4624.8,335.6,349.0,1.6,0.0,3.7,4.031128874149275,3811.2,-246.4,-4624.8,77.3,0.0,0,4.0,骇爪,20.63225629929964,-18.799999999999727,0.0,-8.5,3798.4,-247.0,-4636.6,66.1,358.0,1.2,0.0,-0.6,1.3416407864998738,3798.4,-246.4,-4636.6,120.0,0.0,3,1,1,1,6.0,6.847627326308084,3.300000000000182,72.30000000000001,324.3892062570256,18.799999999999727,20.63225629929964,-8.5,72.30000000000001,377.529041618184,0.04377592189785955,0.8364256397864587,1,2,11,4.333333333333333,1.0,0.0,0.0,-3.8075220763992954,-1.118033988749895,42.7,208,16
19.95,8,骇爪,3597.9,-239.9,-4403.1,218.8,2.3,0.0,0.0,0.0,0.0,3597.9,-240.0,-4403.1,95.2,1.0,0,19,5,2,303.0712776814827,3.878575281942469,0,0,2,2,2.0,UNKNOWN_ROLE_50003,251.9737089459928,225.9000000000001,-8.5,-111.29999999999927,3823.8,-248.4,-4514.4,8.3,356.0,0.3,0.0,0.8,0.8544003745317532,3823.8,-247.8,-4514.4,53.1,0.0,0,8.0,比特,2.4083189157585347,-1.599999999999909,0.0,1.800000000000182,3596.3,-239.9,-4401.3,296.7,342.3,0.0,0.0,0.0,0.0,3596.3,-240.0,-4401.3,95.2,0.0,0,1,1,1,226.0598593293379,251.9737089459928,-111.29999999999927,139.04513288681846,28.51321250516986,1.599999999999909,2.4083189157585347,1.800000000000182,38.80000000000001,46.0664606634343,0.8314008205383565,0.6209287536511087,-2,-2,3,1.6666666666666667,1.0,0.0,1.0,-0.8544003745317532,0.0,42.1,0,0
20.0,4,UNKNOWN_ROLE_30008,3815.4,-247.0,-4627.6,104.4,358.0,0.0,0.0,0.0,0.0,3815.0,-246.4,-4627.8,67.4,1.0,0,20,13,2,156.51113566459864,22.77046688190915,1,2,0,1,8.0,骇爪,5.874521257089969,-5.700000000000273,0.9000000000000057,-1.0999999999994543,3809.7,-246.1,-4628.7,206.7,350.8,0.0,0.0,-0.1,0.1,3809.7,-245.5,-4628.7,100.0,0.0,0,4.0,骇爪,18.804254837669042,-16.40000000000009,0.0,-9.199999999999818,3799.0,-247.0,-4636.8,72.2,0.7,-0.1,0.0,0.5,0.5099019513592785,3799.0,-246.4,-4636.8,120.0,0.0,2,1,1,1,5.770615218501673,5.874521257089969,-1.0999999999994543,66.62737338510397,368.79229989436584,16.40000000000009,18.804254837669042,-9.199999999999818,75.6,387.29136217098363,0.03753420631793889,0.8258177109494749,1,1,11,4.333333333333333,1.0,1.0,0.0,-0.1,-0.5099019513592785,-32.599999999999994,0,0
