样本编号,来源文件,决策时刻,主玩家ID,主玩家队伍,主玩家角色,决策日志,决策内容,决策参数1,决策参数2,主玩家位置X,主玩家位置Y,主玩家位置Z,主玩家武器偏航角,主玩家武器俯仰角,主玩家速度X,主玩家速度Y,主玩家速度Z,主玩家速度大小,主玩家相机X坐标,主玩家相机Y坐标,主玩家相机Z坐标,主玩家视野范围,主玩家开镜状态,主玩家Buff数量,主玩家Buff列表,当前已追踪玩家数量,敌方玩家数量,队友玩家数量,敌人平均距离,队友平均距离,10米内敌人数,20米内敌人数,10米内队友数,20米内队友数,最近敌人ID,最近敌人队伍,最近敌人角色,最近敌人距离,最近敌人相对位置X,最近敌人相对位置Y,最近敌人相对位置Z,最近敌人位置X,最近敌人位置Y,最近敌人位置Z,最近敌人武器偏航角,最近敌人武器俯仰角,最近敌人速度X,最近敌人速度Y,最近敌人速度Z,最近敌人速度大小,最近敌人相机X坐标,最近敌人相机Y坐标,最近敌人相机Z坐标,最近敌人视野范围,最近敌人开镜状态,最近敌人Buff数量,最近敌人Buff列表,最近队友ID,最近队友队伍,最近队友角色,最近队友距离,最近队友相对位置X,最近队友相对位置Y,最近队友相对位置Z,最近队友位置X,最近队友位置Y,最近队友位置Z,最近队友武器偏航角,最近队友武器俯仰角,最近队友速度X,最近队友速度Y,最近队友速度Z,最近队友速度大小,最近队友相机X坐标,最近队友相机Y坐标,最近队友相机Z坐标,最近队友视野范围,最近队友开镜状态,最近队友Buff数量,最近队友Buff列表
11,task/0011.txt,19.95,1946,6,无名,,,,,3353.5,-159.2,-7748.8,242.4,349.9,-0.1,0.0,-0.1,0.14142135623730953,3353.5,-158.5,-7748.8,95.0,0.0,12,400；401；402；403；404；405；406；407；411；412；413；414,15,13,1,368.02510658402775,35.57218014122855,0,0,0,0,1177,1,比特,200.4641115012861,0.40000000000009095,8.099999999999994,-200.30000000000018,3353.9,-151.1,-7949.1,150.2,345.1,-6.7,0.0,4.2,7.907591289387685,3353.9,-150.4,-7949.1,90.0,0.0,0,,1545,6,无名,35.57218014122855,-6.800000000000182,-10.5,33.30000000000018,3346.7,-169.7,-7715.5,6.0,353.6,7.6,0.0,0.8,7.64198926981712,3346.7,-169.0,-7715.5,104.8,0.0,0,
12,task/0012.txt,20.0,1723,8,骇爪,,,,,3632.3,-249.6,-4711.7,208.7,335.4,-6.4,0.0,-1.2,6.511528238439883,3632.3,-249.0,-4711.7,99.0,0.0,0,,19,8,2,392.48980438403544,9.91674304711972,0,0,1,2,0287,3,银翼,227.96302331737928,201.69999999999982,5.199999999999989,-106.10000000000036,3834.0,-244.4,-4817.8,221.5,352.7,-0.1,0.1,-0.1,0.17320508075688776,3834.0,-244.4,-4817.8,90.0,0.0,0,,4714,8,红狼,8.581375181170376,-3.800000000000182,1.1999999999999886,-7.600000000000364,3628.5,-248.4,-4719.3,271.7,351.2,-4.5,1.5,-1.8,5.073460357586329,3628.5,-247.7,-4719.3,95.0,0.0,0,
13,task/0013.txt,20.0,5801,7,银翼,,,,,3962.5,-250.3,-4555.5,109.9,0.0,0.0,0.0,0.0,0.0,3962.5,-249.7,-4555.5,90.0,0.0,10,18；36；37；38；39；40；41；42；43；61,19,17,1,289.0128404649603,3.623534186398442,0,0,1,1,0287,3,银翼,155.2581398832282,-118.90000000000009,2.8000000000000114,99.80000000000018,3843.6,-247.5,-4455.7,140.9,0.0,0.0,0.0,0.0,0.0,3843.6,-246.8,-4455.7,90.0,0.0,8,194；195；196；197；198；199；200；6,3466,7,银翼,3.623534186398442,1.699999999999818,0.0,-3.199999999999818,3964.2,-250.3,-4558.7,109.9,0.0,0.0,0.0,0.0,0.0,3964.2,-249.7,-4558.7,90.0,0.0,9,11；62；63；64；65；66；67；68；95
14,task/0014.txt,20.0,8203,4,露娜,,,,,6675.8,-197.2,-4527.9,265.2,316.5,0.0,0.0,0.0,0.0,6675.8,-196.5,-4527.9,90.0,0.0,0,,17,10,2,163.61332795185075,13.313424165234668,0,0,0,2,2100,7,蛊,54.00546268665813,-43.100000000000364,-22.30000000000001,23.699999999999818,6632.7,-219.5,-4504.2,156.4,329.4,0.0,0.0,0.0,0.0,6632.7,-218.8,-4504.2,110.6,0.0,4,473；474；475；480,0370,4,威龙,12.337341690980553,11.800000000000182,-0.10000000000002274,-3.600000000000364,6687.6,-197.3,-4531.5,180.9,351.6,-6.3,-5.3,2.5,8.604068804931769,6687.6,-196.6,-4531.5,90.0,0.0,0,
15,task/0015.txt,20.0,8480,2,威龙,,,,,6796.0,-214.9,-4458.1,124.3,358.9,-1.1,0.0,-0.8,1.3601470508735445,6796.0,-214.2,-4458.1,43.6,0.0,11,1299；1300；1301；1302；1303；1304；1305；1306；1307；1308；1309,17,3,0,38.765321313845114,,0,0,0,0,6845,6,红狼,33.809614017317784,-15.0,0.0,30.300000000000182,6781.0,-214.9,-4427.8,300.8,4.3,0.0,0.0,0.0,0.0,6781.0,-214.9,-4427.8,81.4,0.0,6,1289；1310；1311；1312；1313；1314,,,,,,,,,,,,,,,,,,,,,,0,
16,task/0016.txt,20.0,1946,6,无名,,,,,3380.3,-174.3,-7609.1,-69.2,0.0,0.0,0.0,0.0,0.0,3380.3,-173.6,-7609.1,90.0,0.0,8,26；27；28；29；30；40；6；7,15,13,1,419.0214595502084,2.071231517720602,0,0,1,1,9453,2,50003,341.9001754898641,304.1999999999998,4.700000000000017,-156.0,3684.5,-169.6,-7765.1,-29.2,0.0,0.0,0.0,0.0,0.0,3684.5,-168.9,-7765.1,90.0,0.0,1,25,1545,6,无名,2.071231517720602,-1.900000000000091,0.20000000000001705,-0.7999999999992724,3378.4,-174.1,-7609.9,-69.2,0.0,0.0,0.0,0.0,0.0,3378.4,-173.5,-7609.9,90.0,0.0,2,10；11
17,task/0017.txt,20.0,9422,1,红狼,,,,,3268.2,-160.8,-7854.7,349.9,350.9,8.6,-0.8,-1.5,8.766413177577247,3268.2,-160.1,-7854.7,90.0,0.0,1,258,14,11,2,417.63681088503364,25.72494879160453,0,0,0,0,8604,3,红狼,163.13807035759564,-53.09999999999991,-6.899999999999977,154.09999999999945,3215.1,-167.7,-7700.6,1.7,352.3,7.2,-1.1,3.0,7.877182237323192,3215.1,-167.0,-7700.6,100.1,0.0,0,,9099,1,骇爪,20.969740103301397,-8.0,-1.799999999999983,19.300000000000182,3260.2,-162.6,-7835.4,35.1,350.9,2.9,0.6,2.0,3.5735136770411273,3260.2,-161.9,-7835.4,84.0,0.0,0,
18,task/0018.txt,20.0,3681,3,骇爪,,,,,3693.3,-250.3,-4521.3,48.6,0.0,0.0,0.0,0.0,0.0,3693.3,-249.7,-4521.3,90.0,0.0,13,101；102；28；29；41；44；45；46；47；48；49；50；51,20,17,2,247.8117228868914,2.031806725741345,0,0,2,2,3910,5,骇爪,162.75653596706937,149.0999999999999,2.8000000000000114,65.19999999999982,3842.4,-247.5,-4456.1,142.9,0.0,0.0,0.0,0.0,0.0,3842.4,-246.8,-4456.1,90.0,0.0,13,117；118；33；34；43；84；85；86；87；88；89；90；91,2703,3,疾风,1.6552945357246078,-1.5,0.0,0.6999999999998181,3691.8,-250.3,-4520.6,16.5,0.0,0.0,0.0,0.0,0.0,3691.8,-249.7,-4520.6,90.0,0.0,16,103；105；35；36；42；72；73；74；75；76；77；78；79；80；81；82
19,task/0019.txt,20.0,4115,4,蜂医,,,,,6694.9,-198.7,-4543.4,88.8,11.3,-4.0,0.0,0.7,4.060788100849391,6694.9,-198.1,-4543.4,84.0,0.0,3,634；635；636,16,12,2,184.74506367541244,54.58004675601431,0,0,0,0,7610,6,露娜,33.020296788490995,19.700000000000728,0.0,26.5,6714.6,-198.7,-4516.9,266.6,358.8,-0.3,0.0,-7.4,7.40607858451421,6714.6,-198.0,-4516.9,89.0,0.0,1,631,8625,4,骇爪,32.6406188666816,-3.7999999999992724,1.0999999999999943,32.399999999999636,6691.1,-197.6,-4511.0,97.5,355.8,0.0,0.0,0.0,0.0,6691.1,-197.6,-4511.0,84.0,0.0,0,
20,task/0020.txt,20.0,5801,7,银翼,,,,,3962.5,-250.3,-4555.5,109.9,0.0,0.0,0.0,0.0,0.0,3962.5,-249.7,-4555.5,90.0,0.0,10,18；36；37；38；39；40；41；42；43；61,19,17,1,289.0128404649603,3.623534186398442,0,0,1,1,0287,3,银翼,155.2581398832282,-118.90000000000009,2.8000000000000114,99.80000000000018,3843.6,-247.5,-4455.7,140.9,0.0,0.0,0.0,0.0,0.0,3843.6,-246.8,-4455.7,90.0,0.0,8,194；195；196；197；198；199；200；6,3466,7,银翼,3.623534186398442,1.699999999999818,0.0,-3.199999999999818,3964.2,-250.3,-4558.7,109.9,0.0,0.0,0.0,0.0,0.0,3964.2,-249.7,-4558.7,90.0,0.0,9,11；62；63；64；65；66；67；68；95
21,task/0021.txt,20.0,5268,4,威龙,,,,,6683.9,-198.7,-4552.8,109.9,356.4,-1.3,0.0,3.6,3.8275318418009276,6683.9,-198.0,-4552.8,104.8,0.0,5,421；422；431；432；433,16,10,2,216.74438078510434,79.85664372150458,0,0,0,0,1876,6,露娜,60.81027873641063,-45.399999999999636,-20.80000000000001,34.69999999999982,6638.5,-219.5,-4518.1,79.6,348.6,1.0,0.0,4.4,4.512205669071391,6638.5,-218.8,-4518.1,90.0,0.0,0,,6533,4,露娜,75.29687908539138,58.0,-14.100000000000023,45.900000000000546,6741.9,-212.8,-4506.9,267.9,348.0,-0.0,0.0,-3.8,3.8,6741.9,-212.1,-4506.9,120.0,0.0,0,
22,task/0022.txt,20.0,1723,8,骇爪,,,,,3651.8,-247.3,-4420.2,35.0,345.4,0.0,0.0,0.0,0.0,3651.8,-246.7,-4420.2,99.0,0.0,0,,20,6,2,229.04378550204206,2.3878733994766357,0,0,2,2,8515,5,骇爪,160.87087990062076,146.19999999999982,4.0,67.0,3798.0,-243.3,-4353.2,345.7,359.0,-1.5,0.0,0.4,1.5524174696260025,3798.0,-242.6,-4353.2,100.0,0.0,9,1715；1716；1717；1718；1719；1720；1721；1722；1725,1397,8,比特,2.2203603311174396,1.2999999999997272,0.0,1.800000000000182,3653.1,-247.3,-4418.4,23.3,334.5,0.1,0.0,4.5,4.50111097397076,3653.1,-246.7,-4418.4,120.0,0.0,0,
23,task/0023.txt,20.0,8304,4,30008,,,,,3817.2,-247.0,-4628.1,252.3,353.2,-0.1,0.0,-0.2,0.223606797749979,3817.2,-246.4,-4628.1,120.0,0.0,16,1012；1013；1014；1015；1016；1017；1018；1019；1021；1022；1023；1024；1025；1026；1027；1028,20,13,2,156.42451442337077,24.6671734077486,1,2,0,0,7745,8,红狼,6.847627326308084,-6.0,0.0,3.300000000000182,3811.2,-247.0,-4624.8,335.6,349.0,1.6,0.0,3.7,4.031128874149275,3811.2,-246.4,-4624.8,77.3,0.0,0,,9956,4,骇爪,20.63225629929964,-18.799999999999727,0.0,-8.5,3798.4,-247.0,-4636.6,66.1,358.0,1.2,0.0,-0.6,1.3416407864998738,3798.4,-246.4,-4636.6,120.0,0.0,3,1000；1004；998
24,task/0024.txt,19.95,1723,8,骇爪,,,,,3597.9,-239.9,-4403.1,218.8,2.3,0.0,0.0,0.0,0.0,3597.9,-240.0,-4403.1,95.2,0.0,0,,19,5,2,303.0712776814827,3.878575281942469,0,0,2,2,5190,2,50003,251.9737089459928,225.9000000000001,-8.5,-111.29999999999927,3823.8,-248.4,-4514.4,8.3,356.0,0.3,0.0,0.8,0.8544003745317532,3823.8,-247.8,-4514.4,53.1,0.0,0,,1397,8,比特,2.4083189157585347,-1.599999999999909,0.0,1.800000000000182,3596.3,-239.9,-4401.3,296.7,342.3,0.0,0.0,0.0,0.0,3596.3,-240.0,-4401.3,95.2,0.0,0,
25,task/0025.txt,20.0,8304,4,30008,,,,,3815.4,-247.0,-4627.6,104.4,358.0,0.0,0.0,0.0,0.0,3815.0,-246.4,-4627.8,67.4,0.0,0,,20,13,2,156.51113566459864,22.77046688190915,1,2,0,1,3199,8,骇爪,5.874521257089969,-5.700000000000273,0.9000000000000057,-1.0999999999994543,3809.7,-246.1,-4628.7,206.7,350.8,0.0,0.0,-0.1,0.1,3809.7,-245.5,-4628.7,100.0,0.0,0,,9956,4,骇爪,18.804254837669042,-16.40000000000009,0.0,-9.199999999999818,3799.0,-247.0,-4636.8,72.2,0.7,-0.1,0.0,0.5,0.5099019513592785,3799.0,-246.4,-4636.8,120.0,0.0,2,1000；998
26,task/0026.txt,19.95,8131,1,露娜,,,,,6743.3,-219.5,-4493.9,352.2,348.4,3.7,0.2,-0.9,3.8131351929875237,6743.3,-218.8,-4493.9,90.0,0.0,0,,18,0,2,,80.30031636500249,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,6688,1,蛊,77.48354664056103,11.199999999999818,5.099999999999994,76.5,6754.5,-214.4,-4417.4,133.0,2.9,-5.1,0.0,5.4,7.427651041883968,6754.5,-213.8,-4417.4,99.1,0.0,0,
27,task/0027.txt,20.0,8304,4,30008,,,,,3812.3,-247.0,-4635.5,143.7,351.5,0.0,0.0,0.0,0.0,3812.3,-246.4,-4635.5,120.0,0.0,2,1183；1192,20,13,2,154.9369061931269,5.534723864579602,0,3,2,2,2688,8,疾风,12.140016474453299,-3.200000000000273,-0.5,11.699999999999818,3809.1,-247.5,-4623.8,88.5,354.2,0.0,0.0,0.0,0.0,3809.1,-247.5,-4623.8,104.8,0.0,3,1184；1185；1189,9956,4,骇爪,2.7784887978898563,-2.400000000000091,0.0,-1.3999999999996362,3809.9,-247.0,-4636.9,127.9,359.3,0.0,0.0,0.0,0.0,3809.9,-246.4,-4636.9,120.0,0.0,1,1195
28,task/0028.txt,20.0,1723,8,骇爪,,,,,3627.4,-245.8,-4719.6,72.1,357.8,0.2,0.6,0.7,0.9433981132056604,3627.4,-245.2,-4719.6,99.0,0.0,0,,19,8,2,397.1550496032687,2.403594375451097,0,0,2,2,0287,3,银翼,203.61780374024252,174.5999999999999,3.6000000000000227,-104.69999999999982,3802.0,-242.2,-4824.3,252.8,7.4,-0.6,0.0,-0.3,0.6708203932499369,3802.1,-242.2,-4824.3,90.0,0.0,0,,4714,8,红狼,0.9848857801792746,0.5,-0.5999999999999943,-0.5999999999994543,3627.9,-246.4,-4720.2,246.5,338.2,-0.0,0.0,-0.1,0.1,3627.9,-245.9,-4720.2,95.0,0.0,0,
29,task/0029.txt,20.0,3681,3,骇爪,,,,,3768.5,-233.4,-4347.6,56.2,335.6,0.0,0.0,0.0,0.0,3768.5,-233.0,-4347.6,110.0,0.0,0,,20,15,2,218.6138143938025,12.134267905201405,0,0,1,2,3078,6,红狼,54.27504030399251,43.5,3.200000000000017,32.30000000000018,3812.0,-230.2,-4315.3,331.9,10.5,0.0,0.0,0.0,0.0,3811.9,-229.6,-4315.6,115.0,0.0,0,,9651,3,蝶,5.032891812865392,-1.800000000000182,0.0,4.700000000000728,3766.7,-233.4,-4342.9,82.6,3.6,0.4,0.0,2.7,2.7294688127912363,3766.7,-233.0,-4342.9,120.0,0.0,0,
30,task/0030.txt,20.0,3277,7,蜂医,,,,,6513.0,-221.2,-4712.6,311.7,358.2,5.5,0.0,-6.2,8.287943049997388,6513.0,-220.6,-4712.6,90.0,0.0,0,,16,8,2,293.9649524707088,48.6783515784425,0,0,0,0,0817,5,露娜,250.8744706023317,210.60000000000036,12.0,135.80000000000018,6723.6,-209.2,-4576.8,351.6,354.0,3.6,-0.1,-0.5,3.6359317925395684,6723.6,-208.6,-4576.8,90.0,0.0,0,,1470,7,露娜,39.73977856002723,-35.0,5.5,18.0,6478.0,-215.7,-4694.6,316.2,13.6,0.0,0.0,0.0,0.0,6478.0,-215.1,-4694.6,90.0,0.0,0,
31,task/0031.txt,20.0,3958,2,蜂医,,,,,6964.2,-220.5,-4699.4,102.9,339.9,-4.6,0.0,-0.2,4.604345773288535,6964.2,-219.9,-4699.4,120.0,0.0,0,,18,13,2,274.56749103899017,76.92940506643481,0,0,0,0,4397,6,红狼,48.801331949035486,4.400000000000546,-0.5,48.599999999999454,6968.6,-221.0,-4650.8,93.3,347.9,0.0,0.0,0.0,0.0,6968.6,-221.0,-4650.8,90.0,0.0,0,,2532,2,蜂医,74.34258537339103,-18.899999999999636,0.0,71.89999999999964,6945.3,-220.5,-4627.5,121.4,350.3,-1.9,0.0,3.3,3.807886552931954,6945.3,-219.9,-4627.5,90.0,0.0,8,621；622；623；624；625；626；627；628
32,task/0032.txt,20.0,3681,3,骇爪,,,,,3693.3,-250.3,-4521.3,48.6,0.0,0.0,0.0,0.0,0.0,3693.3,-249.7,-4521.3,90.0,0.0,13,101；102；28；29；41；44；45；46；47；48；49；50；51,20,17,2,247.8117228868914,2.031806725741345,0,0,2,2,3910,5,骇爪,162.75653596706937,149.0999999999999,2.8000000000000114,65.19999999999982,3842.4,-247.5,-4456.1,142.9,0.0,0.0,0.0,0.0,0.0,3842.4,-246.8,-4456.1,90.0,0.0,13,117；118；33；34；43；84；85；86；87；88；89；90；91,2703,3,疾风,1.6552945357246078,-1.5,0.0,0.6999999999998181,3691.8,-250.3,-4520.6,16.5,0.0,0.0,0.0,0.0,0.0,3691.8,-249.7,-4520.6,90.0,0.0,16,103；105；35；36；42；72；73；74；75；76；77；78；79；80；81；82
33,task/0033.txt,19.95,1946,6,无名,,,,,3353.5,-159.2,-7748.8,242.4,349.9,-0.1,0.0,-0.1,0.14142135623730953,3353.5,-158.5,-7748.8,95.0,0.0,12,400；401；402；403；404；405；406；407；411；412；413；414,15,13,1,368.02510658402775,35.57218014122855,0,0,0,0,1177,1,比特,200.4641115012861,0.40000000000009095,8.099999999999994,-200.30000000000018,3353.9,-151.1,-7949.1,150.2,345.1,-6.7,0.0,4.2,7.907591289387685,3353.9,-150.4,-7949.1,90.0,0.0,0,,1545,6,无名,35.57218014122855,-6.800000000000182,-10.5,33.30000000000018,3346.7,-169.7,-7715.5,6.0,353.6,7.6,0.0,0.8,7.64198926981712,3346.7,-169.0,-7715.5,104.8,0.0,0,
34,task/0034.txt,20.0,8304,4,30008,,,,,3819.0,-247.0,-4626.0,231.9,347.6,0.0,0.0,0.0,0.0,3819.0,-246.4,-4626.0,120.0,0.0,1,1183,20,13,2,158.820618528151,6.7678584204814785,0,2,2,2,1981,5,无名,11.594395197680706,-9.099999999999909,-5.900000000000006,4.100000000000364,3809.9,-252.9,-4621.9,68.0,358.7,0.9,0.0,2.3,2.4698178070456938,3809.9,-252.5,-4621.9,90.8,0.0,0,,9956,4,骇爪,4.8041648597858995,-0.1999999999998181,0.0,-4.800000000000182,3818.8,-247.0,-4630.8,195.9,359.4,0.0,0.0,0.0,0.0,3818.8,-246.4,-4630.8,120.0,0.0,0,
35,task/0035.txt,20.0,2675,4,威龙,,,,,6631.3,-218.2,-4549.7,323.4,354.4,-2.1,0.0,1.8,2.7658633371878665,6631.3,-217.6,-4549.7,82.9,0.0,0,,16,11,2,164.68293757901012,6.471031393077739,0,0,2,2,6787,7,蝶,71.90500677977838,69.19999999999982,19.5,1.199999999999818,6700.5,-198.7,-4548.5,262.0,347.6,5.0,0.0,-1.0,5.0990195135927845,6700.5,-198.1,-4548.5,105.0,0.0,0,,8212,4,疾风,6.082762530298219,6.0,0.0,-1.0,6637.3,-218.2,-4550.7,342.7,360.0,0.0,0.0,0.0,0.0,6637.3,-217.6,-4550.7,90.0,0.0,0,
